city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Sydney,House,64.0,2,Private room,Coogee,151.25541,-33.92398,8,8
Sydney,Apartment,181.0,2,Entire home/apt,Surry Hills,151.21554,-33.88029,64,64
Sydney,Apartment,185.0,2,Entire home/apt,Darlinghurst,151.21346,-33.87603,109,109
Sydney,Apartment,36.0,2,Private room,0,151.26969,-33.79629,4,4
Sydney,Apartment,117.0,2,Entire home/apt,0,151.29792,-33.71472,61,61
Sydney,House,250.0,2,Entire home/apt,Lilyfield/Rozelle,151.17956,-33.86296,0,0
Sydney,House,999.0,6,Entire home/apt,Greenwich,151.18563,-33.8289,0,0
Sydney,Guesthouse,129.0,2,Entire home/apt,0,151.15036,-33.90318,146,146
Sydney,House,399.0,8,Entire home/apt,North Bondi,151.27448,-33.8872,139,139
Sydney,Guest suite,45.0,5,Entire home/apt,Balgowlah,151.26108,-33.7975,104,104
Sydney,Apartment,85.0,2,Entire home/apt,Elizabeth Bay/Rushcutters Bay,151.22559,-33.87604,2,2
Sydney,House,500.0,8,Entire home/apt,0,151.31572,-33.65212,3,3
Sydney,House,65.0,2,Private room,Marrickville,151.15851,-33.89931,84,84
Sydney,Apartment,119.0,2,Entire home/apt,Neutral Bay,151.22133,-33.87521,9,9
Sydney,Cabin,109.0,2,Entire home/apt,0,151.15761,-34.08087,230,230
Sydney,Apartment,461.0,3,Entire home/apt,Woollahra,151.23526,-33.88944,35,35
Sydney,Apartment,161.0,3,Entire home/apt,Neutral Bay,151.21478,-33.84297,41,41
Sydney,House,75.0,2,Private room,0,151.2009,-33.90987,2,2
Sydney,House,125.0,1,Private room,Lilyfield/Rozelle,151.16994,-33.86771,12,12
Sydney,Apartment,124.0,4,Entire home/apt,0,151.00818,-33.81861,0,0
Sydney,House,650.0,8,Entire home/apt,Woolloomooloo,151.21842,-33.86943,0,0
Sydney,Townhouse,171.0,4,Private room,Darlington,151.1965,-33.88848,3,3
Sydney,House,55.0,1,Private room,Bondi Beach,151.26826,-33.89172,1,1
Sydney,Chalet,242.0,2,Entire home/apt,Bondi,151.26907,-33.89605,0,0
Sydney,Apartment,151.0,2,Entire home/apt,0,151.32223,-33.662,2,2
Sydney,Apartment,165.0,2,Entire home/apt,Waterloo,151.21181,-33.90087,0,0
Sydney,Apartment,53.0,2,Private room,Pyrmont,151.1943,-33.87351,0,0
Sydney,Apartment,225.0,7,Entire home/apt,0,151.26982,-33.89741,27,27
Sydney,Condominium,171.0,4,Entire home/apt,Bondi Junction,151.25656,-33.89333,12,12
Sydney,Apartment,139.0,2,Entire home/apt,Bondi Beach,151.27247,-33.88875,32,32
Sydney,Apartment,125.0,2,Entire home/apt,0,151.20677,-33.8671,70,70
Sydney,Apartment,70.0,2,Entire home/apt,Waterloo,151.20691,-33.89836,0,0
Sydney,Apartment,65.0,2,Private room,Waterloo,151.20377,-33.90017,21,21
Sydney,House,80.0,2,Private room,Redfern,151.21378,-33.89373,73,73
Sydney,Condominium,85.0,2,Private room,Manly,151.29282,-33.80031,52,52
Sydney,Apartment,70.0,2,Private room,Bondi Beach,151.27036,-33.89275,0,0
Sydney,Apartment,200.0,4,Entire home/apt,Newtown/Enmore,151.1971,-33.8708,66,66
Sydney,House,999.0,10,Entire home/apt,0,151.30735,-33.6907,3,3
Sydney,Guest suite,60.0,2,Private room,Arncliffe,151.15274,-33.937,469,469
Sydney,Apartment,569.0,2,Private room,0,151.21532,-33.89307,0,0
Sydney,Apartment,200.0,4,Entire home/apt,Chatswood,151.20904,-33.86252,25,25
Sydney,Apartment,370.0,8,Entire home/apt,Haymarket,151.21355,-33.87546,46,46
Sydney,Apartment,139.0,2,Entire home/apt,Mosman,151.23757,-33.83325,67,67
Sydney,Apartment,209.0,5,Entire home/apt,Haymarket,151.21367,-33.87702,4,4
Sydney,Bed and breakfast,139.0,4,Private room,0,151.23946,-33.53785,30,30
Sydney,Apartment,230.0,2,Entire home/apt,Potts Point,151.21476,-33.87586,10,10
Sydney,Townhouse,80.0,2,Private room,Paddington,151.23062,-33.88743,35,35
Sydney,Apartment,161.0,2,Entire home/apt,Wollstonecraft/Waverton,151.20637,-33.86903,48,48
Sydney,Apartment,188.0,6,Entire home/apt,0,151.07343,-33.84673,105,105
0,Apartment,254.0,4,Entire home/apt,Waverly,151.25337,-33.90298,1,1
Sydney,House,50.0,2,Private room,Bondi,151.26186,-33.8964,0,0
Sydney,House,151.0,2,Private room,0,151.30006,-33.76212,0,0
Sydney,Apartment,199.0,5,Entire home/apt,Darlinghurst,151.22801,-33.87621,1,1
Sydney,Serviced apartment,205.0,3,Entire home/apt,Manly,151.28492,-33.79762,97,97
Sydney,Apartment,119.0,2,Entire home/apt,Potts Point,151.22488,-33.87049,206,206
Sydney,Apartment,125.0,2,Entire home/apt,0,151.22674,-33.87226,92,92
Sydney,Apartment,699.0,8,Entire home/apt,0,151.27924,-33.77183,0,0
Sydney,Apartment,38.0,1,Private room,Bondi,151.27023,-33.89507,0,0
Sydney,Apartment,45.0,2,Private room,Monterey,151.15248,-33.96822,123,123
Sydney,House,100.0,2,Private room,Surry Hills,151.21272,-33.88189,68,68
Sydney,House,50.0,2,Private room,Newtown/Enmore,151.17393,-33.89695,0,0
Sydney,Apartment,45.0,2,Private room,Zetland,151.21019,-33.9073,0,0
Sydney,House,181.0,5,Entire home/apt,0,151.20925,-33.74605,0,0
Sydney,Apartment,100.0,2,Entire home/apt,Neutral Bay,151.21491,-33.84125,130,130
Sydney,Apartment,550.0,10,Entire home/apt,North Sydney,151.20197,-33.84212,73,73
Sydney,Apartment,149.0,4,Entire home/apt,Central Business District,151.20828,-33.86397,221,221
