_id,accommodates,neighbourhood,government_area,city,country,country_code,host_id,host_name,host_is_superhost,host_location,host_neighbourhood,host_response_time,number_of_reviews,guests_included,reviews_per_month,room_type,bed_type,minimum_nights,maximum_nights,Latitudes,Longitudes,price,bedrooms,beds,property_type,number_of_reviews,first_review,availability_30,availability_60,availability_90,availability_365,Amenities
10009999,4,"This charming ground floor flat is located in Horto, a quiet and bucolic neighborhood just next to the Botanical Garden, where most of the descendants of it´s first gardeners still live. You´ll be 30 minutes walk from waterfalls in the rainforest with easy hiking trails! There are nice bars and restaurants as well as basic facilities - pharmacy, bakery, small market - in the area.",Jardim Botânico,Rio De Janeiro,Brazil,BR,1282196,Ynaie,False,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Jardim Botânico,0,0,1,0,Entire home/apt,Real Bed,2,1125,-43.23074991429229,-22.96625355173965,317.0,1,2,Apartment,0,1970-01-01 00:00:00+00:00,0,0,0,0,"Wifi, Wheelchair accessible, Kitchen, Free parking on premises, Smoking allowed, Hot tub"
10006546,8,"In the neighborhood of the river, you can find several restaurants as varied flavors, but without forgetting the so traditional northern food. You can also find several bars and pubs to unwind after a day's visit to the magnificent Port. To enjoy the Douro River can board the boats that daily make the ride of six bridges. You can also embark towards Régua, Barca d'Alva, Pinhão, etc and enjoy the Douro Wine Region, World Heritage of Humanity. The Infante's house is a few meters and no doubt it deserves a visit. They abound grocery stores, bakeries, etc. to make your meals. Souvenir shop, wine cellars, etc. to bring some souvenirs.","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,51399391,Ana&Gonçalo,False,"Porto, Porto District, Portugal",0,within an hour,51,6,0,Entire home/apt,Real Bed,2,30,-8.61308,41.1413,80.0,3,5,House,51,2016-01-03 05:00:00+00:00,28,47,74,239,"TV, Cable TV, Wifi, Kitchen, Paid parking off premises, Smoking allowed"
10057826,4,"Greenpoint is an artsy Brooklyn neighborhood filled with great restaurants, cafes, and shops.",Greenpoint,New York,United States,US,47554473,Mae,False,US,Greenpoint,within a few hours,5,1,0,Entire home/apt,Real Bed,3,1125,-73.94472,40.72778,205.0,0,2,Apartment,5,2016-01-03 05:00:00+00:00,30,31,31,243,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen"
10038496,4,"Copacabana in the South zone is the district that offers the greatest number of options for tourists, transport, restaurants, banks, pharmacies and commerce in general are in abundance in all the blocks of the neighborhood.",Copacabana,Rio De Janeiro,Brazil,BR,51530266,Ana Valéria,True,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Copacabana,within an hour,70,3,0,Entire home/apt,Real Bed,3,75,-43.19084919446341,-22.98433936006781,119.0,1,3,Apartment,70,2016-01-18 05:00:00+00:00,7,19,33,118,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen"
10082307,2,0,Yau Tsim Mong,Hong Kong,Hong Kong,HK,51289938,Ken,False,Hong Kong,Jordan,within an hour,0,2,0,Private room,Real Bed,1,1125,114.17158,22.30469,361.0,1,1,Apartment,0,1970-01-01 00:00:00+00:00,30,60,90,365,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Doorman"
10083468,2,"""Be happy in Porto""  offers a quality accommodation to spend a few pleasant days in Porto.","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,27518920,Fábio,True,"São Félix da Marinha, Porto, Portugal",0,within an hour,178,1,0,Entire home/apt,Real Bed,2,1125,-8.61123,41.15225,30.0,1,1,Loft,178,2016-01-02 05:00:00+00:00,16,40,67,335,"TV, Cable TV, Wifi, Kitchen, Smoking allowed, First aid kit"
10057447,4,0,Le Plateau-Mont-Royal,Montreal,Canada,CA,51612949,Konstantin,False,"Montreal, Quebec, Canada",Mile End,0,0,1,0,Entire home/apt,Real Bed,1,1125,-73.59111,45.51889,50.0,1,2,Apartment,0,1970-01-01 00:00:00+00:00,0,0,0,0,"Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer"
10047964,6,"With its diversity Moda- Kadikoy is one of the most colorfull neighbourhood of Istanbul. The place is  surrounded by lots of cafe's, pubs, concert halls, restaurants and art studios. Being local is wonderful if you're staying here.",Kadikoy,Istanbul,Turkey,TR,1241644,Zeynep,False,"Istanbul, Istanbul, Turkey",Moda,0,1,1,0,Entire home/apt,Real Bed,2,1125,29.03133,40.98585,527.0,2,6,House,1,2016-04-02 04:00:00+00:00,27,57,87,362,"TV, Cable TV, Internet, Wifi, Kitchen, Free parking on premises"
10021707,1,0,Bushwick,New York,United States,US,11275734,Josh,False,"New York, New York, United States",Bushwick,0,1,1,0,Private room,Real Bed,14,1125,-73.93615,40.69791,40.0,1,1,Apartment,1,2016-01-31 05:00:00+00:00,0,0,0,0,"Internet, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Heating"
10069642,5,0,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,51670240,Jonathan,False,"Resende, Rio de Janeiro, Brazil",0,0,0,1,0,Entire home/apt,Real Bed,15,20,-43.4311123147628,-23.00035792660916,858.0,2,2,Apartment,0,1970-01-01 00:00:00+00:00,0,0,0,0,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible"
