city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Rio De Janeiro,Apartment,317.0,4,Entire home/apt,Jardim Botânico,-43.23074991429229,-22.96625355173965,0,0
Rio De Janeiro,Apartment,119.0,4,Entire home/apt,Copacabana,-43.19084919446341,-22.98433936006781,70,70
Rio De Janeiro,Apartment,858.0,5,Entire home/apt,0,-43.4311123147628,-23.00035792660916,0,0
Rio De Janeiro,House,250.0,8,Private room,Catete,-43.18015675229857,-22.92638234778768,1,1
Rio De Janeiro,Apartment,701.0,2,Private room,Lagoa,-43.20504708263344,-22.971950988341877,0,0
Rio De Janeiro,Apartment,149.0,1,Private room,Tijuca,-43.247421907135774,-22.936203246553816,1,1
Rio De Janeiro,Apartment,933.0,5,Entire home/apt,0,-43.1825954762751,-22.93054146036793,0,0
Rio De Janeiro,Apartment,298.0,4,Entire home/apt,Santa Teresa,-43.1998455458952,-22.980051683700506,24,24
Rio De Janeiro,Apartment,746.0,6,Entire home/apt,Recreio dos Bandeirantes,-43.45296045334386,-23.008710784460312,0,0
Rio De Janeiro,Apartment,798.0,6,Entire home/apt,0,-43.17714541632985,-22.96270793328072,8,8
Rio De Janeiro,Apartment,380.0,2,Entire home/apt,0,-43.24277868091869,-22.91500935448249,0,0
Rio De Janeiro,Apartment,101.0,2,Private room,0,-43.37035220190699,-22.91636184358952,1,1
Rio De Janeiro,Apartment,858.0,3,Entire home/apt,Ipanema,-43.20056249420509,-22.98034625363379,29,29
Rio De Janeiro,Bed and breakfast,112.0,2,Private room,Barra da Tijuca,-43.35397067257831,-23.008991691724663,11,11
Rio De Janeiro,House,101.0,1,Private room,0,-43.33496705036137,-22.94836549045056,0,0
Rio De Janeiro,Bed and breakfast,138.0,2,Private room,0,-43.3089745798612,-23.004633399469007,9,9
Rio De Janeiro,Apartment,351.0,4,Entire home/apt,Barra da Tijuca,-43.20577175003696,-22.98255730525777,32,32
