city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Montreal,Apartment,50.0,4,Entire home/apt,Mile End,-73.59111,45.51889,0,0
Montreal,Apartment,43.0,2,Entire home/apt,0,-73.54949,45.54548,0,0
Montreal,Apartment,140.0,6,Entire home/apt,Le Plateau,-73.57383,45.52233,0,0
Montreal,Apartment,34.0,1,Private room,Mile End,-73.58774,45.52028,62,62
Montreal,Apartment,30.0,2,Private room,Mile End,-73.60137,45.52517,0,0
Montreal,Apartment,21.0,2,Private room,Downtown Montreal,-73.58595,45.49039,1,1
Montreal,Apartment,70.0,2,Private room,Le Plateau,-73.58664,45.47348,2,2
Montreal,Apartment,64.0,4,Entire home/apt,Ville-Marie,-73.55985,45.53481,5,5
Montreal,Apartment,60.0,1,Private room,Gay Village,-73.55495,45.51625,0,0
Montreal,Apartment,150.0,3,Entire home/apt,Old Rosemont,-73.5824,45.54904,1,1
Montreal,Apartment,55.0,2,Entire home/apt,Le Plateau,-73.57179,45.51028,42,42
Montreal,Apartment,60.0,2,Entire home/apt,0,-73.55486,45.5993,0,0
Montreal,Condominium,35.0,2,Entire home/apt,Villeray-Saint-Michel-Parc-Extension,-73.60386,45.55264,2,2
Montreal,Apartment,30.0,1,Private room,Mile End,-73.58677,45.52572,122,122
Montreal,Apartment,79.0,3,Entire home/apt,Griffintown,-73.55863,45.49665,1,1
Montreal,Apartment,90.0,4,Entire home/apt,Le Plateau,-73.57981,45.51702,93,93
Montreal,Condominium,68.0,3,Entire home/apt,McGill Ghetto,-73.57711,45.5084,16,16
Montreal,Apartment,115.0,6,Entire home/apt,0,-73.59462,45.54566,13,13
Montreal,Apartment,75.0,4,Entire home/apt,Mile End,-73.58715,45.5221,25,25
Montreal,Apartment,40.0,2,Private room,Gay Village,-73.55889,45.51891,4,4
Montreal,Apartment,30.0,2,Entire home/apt,Downtown Montreal,-73.58022,45.48979,2,2
Montreal,Apartment,42.0,2,Entire home/apt,Quartier des Spectacles,-73.56526,45.51424,18,18
Montreal,Loft,81.0,3,Entire home/apt,Cote-des-Neiges-Notre-Dame-de-Grace,-73.62797,45.50286,4,4
Montreal,Apartment,90.0,2,Entire home/apt,Downtown Montreal,-73.58208,45.49165,157,157
Montreal,Condominium,149.0,2,Entire home/apt,Downtown Toronto,-73.55591,45.50488,22,22
Montreal,Bed and breakfast,78.0,3,Private room,Lachine,-73.69275,45.44423,1,1
Montreal,Serviced apartment,195.0,7,Entire home/apt,Mont-Royal,-73.65637,45.5169,2,2
Montreal,Apartment,81.0,2,Private room,Le Plateau,-73.57605,45.53617,8,8
Montreal,Apartment,150.0,3,Entire home/apt,Downtown Montreal,-73.56223,45.52406,8,8
Montreal,Apartment,152.0,8,Entire home/apt,Gay Village,-73.58256,45.51664,22,22
Montreal,Apartment,35.0,3,Private room,Le Plateau,-73.58359,45.52143,7,7
Montreal,Apartment,50.0,5,Private room,Verdun,-73.57051,45.45091,39,39
Montreal,Apartment,20.0,2,Private room,Quartier des Spectacles,-73.56646,45.51778,7,7
Montreal,Townhouse,208.0,7,Entire home/apt,Le Plateau,-73.56972,45.52296,3,3
Montreal,Apartment,55.0,2,Private room,Mile End,-73.59698,45.52865,39,39
Montreal,Apartment,90.0,4,Entire home/apt,Gay Village,-73.57803,45.50165,33,33
Montreal,Apartment,90.0,6,Entire home/apt,Le Plateau,-73.57039,45.51664,18,18
Montreal,Apartment,240.0,2,Entire home/apt,Lachine,-73.69114,45.44134,0,0
Montreal,Apartment,36.0,1,Private room,Mile End,-73.6079,45.52967,0,0
Montreal,Condominium,181.0,3,Entire home/apt,Villeray,-73.62176,45.53724,8,8
Montreal,Apartment,177.0,6,Entire home/apt,Gay Village,-73.57517,45.51623,18,18
Montreal,Apartment,75.0,4,Entire home/apt,Mercier-Hochelaga-Maisonneuve,-73.52985,45.58603,4,4
Montreal,Condominium,102.0,4,Entire home/apt,Verdun,-73.5702,45.46794,66,66
Montreal,Apartment,103.0,4,Entire home/apt,0,-73.57453,45.51344,18,18
Montreal,Apartment,60.0,2,Entire home/apt,Notre-Dame-de-Grace,-73.64172,45.46374,0,0
Montreal,Apartment,68.0,2,Entire home/apt,Mile End,-73.59279,45.52374,2,2
Montreal,Apartment,35.0,1,Private room,Outremont,-73.60951,45.52045,5,5
Montreal,Apartment,62.0,3,Entire home/apt,Downtown Montreal,-73.58003,45.49826,3,3
0,Apartment,25.0,2,Private room,Ville-Marie,-73.55997,45.52588,4,4
Montreal,Apartment,30.0,2,Private room,0,-73.54985,45.52797,4,4
