city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Hong Kong,Apartment,361.0,2,Private room,Jordan,114.17158,22.30469,0,0
Hong Kong,Apartment,699.0,3,Entire home/apt,Soho,114.15027,22.28158,3,3
Hong Kong,Apartment,400.0,3,Private room,Mong Kok,114.17073,22.31723,22,22
Hong Kong,Guesthouse,181.0,1,Private room,Shek Kip Mei,114.1669,22.3314,81,81
Hong Kong,Apartment,966.0,2,Entire home/apt,Sheung Wan,114.15007,22.28422,1,1
Hong Kong,Apartment,330.0,2,Private room,Mong Kok,114.17034,22.31655,9,9
Hong Kong,Guesthouse,487.0,2,Private room,0,113.92823,22.27671,162,162
Hong Kong,Apartment,997.0,4,Entire home/apt,Tsim Sha Tsui,114.17088,22.29663,145,145
Hong Kong,Condominium,479.0,2,Private room,Mong Kok,114.17094,22.32074,179,179
Hong Kong,Apartment,353.0,4,Private room,Tai Kok Sui,114.16262,22.32733,18,18
Hong Kong,Apartment,997.0,2,Entire home/apt,Sheung Wan,114.15241,22.28351,10,10
Hong Kong,Apartment,597.0,4,Private room,Mong Kok,114.18651,22.28186,15,15
Hong Kong,Apartment,1703.0,5,Entire home/apt,Soho,114.15315,22.28028,86,86
Hong Kong,Condominium,447.0,2,Private room,0,114.20854,22.29099,72,72
Hong Kong,Apartment,1146.0,5,Entire home/apt,Downtown Vancouver,114.15202,22.28582,125,125
Hong Kong,Apartment,801.0,5,Entire home/apt,0,114.12074,22.40547,0,0
Hong Kong,Apartment,1484.0,2,Entire home/apt,0,114.14881,22.28354,18,18
Hong Kong,Apartment,2748.0,2,Private room,Tai Kok Sui,114.16558,22.308,0,0
Hong Kong,Hostel,447.0,1,Private room,Jordan,114.17127,22.30549,203,203
Hong Kong,Condominium,463.0,2,Entire home/apt,Tsim Sha Tsui,114.17545,22.29643,206,206
Hong Kong,Apartment,400.0,2,Private room,Jordan,114.17237,22.30612,105,105
Hong Kong,Apartment,424.0,1,Private room,Jordan,114.17106,22.30692,211,211
Hong Kong,Apartment,298.0,2,Private room,Jordan,114.17242,22.30515,139,139
Hong Kong,Apartment,353.0,2,Private room,Happy Valley,114.18233,22.27681,0,0
Hong Kong,Bed and breakfast,283.0,2,Private room,Mong Kok,114.17082,22.31871,38,38
Hong Kong,Apartment,793.0,2,Entire home/apt,Sheung Wan,114.15076,22.28352,1,1
Hong Kong,Apartment,188.0,1,Private room,0,114.25746,22.31752,27,27
Hong Kong,Apartment,298.0,1,Entire home/apt,Causeway Bay,114.16984,22.31915,1,1
Hong Kong,Apartment,903.0,5,Entire home/apt,Sai Ying Pun,114.14238,22.28737,3,3
Hong Kong,Apartment,761.0,3,Entire home/apt,Causeway Bay,114.19243,22.27928,11,11
Hong Kong,Apartment,267.0,2,Private room,Tsim Sha Tsui,114.17366,22.2982,36,36
Hong Kong,Apartment,691.0,2,Entire home/apt,Tsim Sha Tsui,114.17546,22.29937,3,3
Hong Kong,Apartment,903.0,2,Entire home/apt,Sheung Wan,114.15037,22.28515,1,1
Hong Kong,Apartment,1492.0,8,Entire home/apt,Causeway Bay,114.18445,22.27878,36,36
Hong Kong,Apartment,306.0,2,Private room,Mong Kok,114.16885,22.31463,71,71
Hong Kong,Apartment,502.0,2,Entire home/apt,0,114.17308,22.30039,269,269
Hong Kong,Apartment,550.0,2,Entire home/apt,Shek Tong Tsui,114.13508,22.28491,0,0
Hong Kong,Apartment,314.0,1,Private room,0,113.99074,22.38087,0,0
Hong Kong,Apartment,502.0,1,Shared room,0,113.9801,22.40435,0,0
Hong Kong,Apartment,589.0,3,Private room,Happy Valley,114.18542,22.26824,33,33
Hong Kong,Apartment,1303.0,4,Entire home/apt,Stanley,114.21303,22.21846,60,60
Hong Kong,Apartment,220.0,2,Private room,Shek Tong Tsui,114.13005,22.28392,14,14
