city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Porto,House,80.0,8,Entire home/apt,0,-8.61308,41.1413,51,51
Porto,Loft,30.0,2,Entire home/apt,0,-8.61123,41.15225,178,178
Porto,Hostel,40.0,2,Private room,0,-8.60867,41.1543,0,0
Porto,Apartment,40.0,2,Entire home/apt,0,-8.75383,41.3596,12,12
Porto,Apartment,31.0,2,Entire home/apt,0,-8.61205,41.14404,225,225
Porto,Apartment,100.0,8,Entire home/apt,Mercês,-8.60069,41.16246,71,71
Porto,Apartment,80.0,4,Entire home/apt,0,-8.68887,41.17544,13,13
Porto,Apartment,29.0,2,Entire home/apt,0,-8.59275,41.1462,31,31
Porto,Apartment,55.0,4,Entire home/apt,0,-8.61279,41.14106,62,62
Porto,Apartment,58.0,3,Entire home/apt,Brickell,-8.60106,41.14684,32,32
Porto,Apartment,60.0,6,Entire home/apt,Jardim Europa,-8.6114,41.16093,20,20
Porto,Apartment,80.0,6,Entire home/apt,0,-8.61602,41.14295,132,132
Porto,Loft,40.0,4,Entire home/apt,0,-8.61504,41.14736,380,380
Porto,Apartment,80.0,4,Entire home/apt,0,-8.61655,41.14507,211,211
Porto,Apartment,60.0,7,Entire home/apt,0,-8.61825,41.14366,229,229
Porto,Apartment,80.0,2,Entire home/apt,0,-8.67643,41.15171,1,1
Porto,Apartment,34.0,2,Entire home/apt,0,-8.61181,41.14464,163,163
Porto,Apartment,120.0,4,Entire home/apt,0,-8.60605,41.13534,10,10
Porto,Apartment,75.0,4,Entire home/apt,0,-8.63001,41.1455,5,5
Porto,Apartment,30.0,2,Private room,0,-8.58364,41.18877,4,4
Porto,Apartment,50.0,2,Entire home/apt,0,-8.60033,41.14543,3,3
Porto,House,125.0,4,Entire home/apt,0,-8.61302,41.15292,22,22
Porto,Apartment,45.0,2,Entire home/apt,0,-8.61184,41.14791,57,57
Porto,Loft,70.0,4,Entire home/apt,0,-8.61628,41.14364,7,7
Porto,House,65.0,6,Entire home/apt,0,-8.60906,41.13469,29,29
Porto,House,42.0,2,Private room,0,-8.61297,41.14655,203,203
Porto,Boat,200.0,2,Entire home/apt,0,-8.65161,41.14143,0,0
Porto,Apartment,35.0,3,Entire home/apt,0,-8.6311,41.16087,15,15
Porto,Apartment,45.0,5,Entire home/apt,0,-8.59399,41.15757,44,44
Porto,House,36.0,2,Private room,0,-8.6127,41.14557,210,210
Porto,Cottage,200.0,8,Entire home/apt,0,-8.36356,40.93334,5,5
Porto,Apartment,75.0,2,Entire home/apt,0,-8.61318,41.14107,0,0
Porto,Apartment,85.0,4,Entire home/apt,0,-8.60898,41.14234,17,17
Porto,Apartment,100.0,4,Entire home/apt,0,-8.68676,41.17074,0,0
Porto,House,55.0,5,Entire home/apt,0,-8.44815,41.35459,2,2
Porto,Apartment,50.0,3,Entire home/apt,0,-8.60827,41.14542,122,122
Porto,Apartment,49.0,4,Entire home/apt,0,-8.60559,41.14586,54,54
Porto,House,25.0,4,Private room,0,-8.59097,41.1541,391,391
Porto,Apartment,30.0,4,Entire home/apt,0,-8.6495,41.1555,13,13
Porto,Apartment,50.0,6,Entire home/apt,0,-8.5906,41.11846,41,41
Porto,Townhouse,150.0,8,Entire home/apt,0,-8.61492,41.14228,58,58
Porto,Apartment,53.0,4,Entire home/apt,0,-8.61825,41.14739,399,399
Porto,Apartment,80.0,5,Entire home/apt,0,-8.60849,41.14186,27,27
Porto,Condominium,35.0,3,Entire home/apt,0,-8.6006,41.14924,181,181
Porto,Apartment,75.0,4,Entire home/apt,0,-8.60757,41.14562,110,110
Porto,Apartment,129.0,5,Entire home/apt,0,-8.68085,41.15722,13,13
Porto,Apartment,65.0,4,Entire home/apt,0,-8.60701,41.14987,119,119
Porto,Apartment,55.0,3,Entire home/apt,0,-8.59966,41.15207,22,22
Porto,Apartment,120.0,4,Entire home/apt,0,-8.74634,41.34608,13,13
Porto,Apartment,45.0,6,Entire home/apt,0,-8.64343,40.99568,37,37
Porto,House,32.0,2,Private room,0,-8.61479,41.15309,73,73
Porto,Apartment,70.0,7,Entire home/apt,0,-8.61723,41.14839,111,111
Porto,Serviced apartment,60.0,3,Entire home/apt,0,-8.62354,41.14958,16,16
Porto,House,60.0,6,Entire home/apt,0,-8.60844,41.13442,47,47
Porto,Apartment,40.0,4,Entire home/apt,0,-8.60865,41.14441,103,103
Porto,House,17.0,2,Private room,0,-8.6187,41.1582,46,46
Porto,Apartment,14.0,2,Private room,0,-8.62705,41.17498,14,14
Porto,Apartment,33.0,3,Entire home/apt,0,-8.62518,41.16032,110,110
Porto,Apartment,60.0,4,Entire home/apt,0,-8.61289,41.14501,69,69
Porto,Apartment,49.0,4,Entire home/apt,0,-8.70481,41.18844,75,75
Porto,Apartment,35.0,4,Entire home/apt,0,-8.62513,41.15138,197,197
Porto,Apartment,65.0,4,Entire home/apt,0,-8.60154,41.14834,18,18
Porto,Apartment,60.0,2,Entire home/apt,0,-8.73417,41.29769,2,2
Porto,House,80.0,8,Entire home/apt,0,-8.58458,41.15779,16,16
Porto,Apartment,35.0,4,Private room,0,-8.62302,41.15229,64,64
Porto,Apartment,100.0,4,Entire home/apt,0,-8.67559,41.15223,29,29
Porto,Apartment,112.0,4,Entire home/apt,0,-8.75216,41.36439,13,13
Porto,House,26.0,2,Private room,0,-8.63082,41.18075,5,5
Porto,Apartment,50.0,2,Private room,0,-8.67867,41.17922,3,3
Porto,Apartment,60.0,4,Entire home/apt,0,-8.62093,41.15773,61,61
Porto,House,45.0,2,Private room,0,-8.66959,41.15099,16,16
Porto,Apartment,109.0,4,Entire home/apt,0,-8.61174,41.15938,9,9
Porto,House,120.0,4,Private room,0,-8.67515,41.15337,2,2
Porto,Townhouse,125.0,5,Entire home/apt,0,-8.69332,41.18378,16,16
Porto,Apartment,75.0,10,Entire home/apt,0,-8.61976,41.16058,21,21
Porto,Apartment,39.0,4,Entire home/apt,0,-8.6022,41.16098,110,110
Porto,Apartment,85.0,8,Entire home/apt,0,-8.60756,41.15633,61,61
Porto,Apartment,55.0,2,Entire home/apt,0,-8.61602,41.26027,5,5
Porto,Apartment,135.0,6,Entire home/apt,0,-8.65416,41.08439,14,14
Porto,Apartment,40.0,4,Entire home/apt,0,-8.60858,41.1453,116,116
Porto,Cottage,80.0,6,Entire home/apt,0,-8.3692,40.86455,22,22
Porto,Apartment,9.0,1,Private room,0,-8.557,41.14586,2,2
Porto,Apartment,89.0,4,Entire home/apt,0,-8.61834,41.14425,280,280
Porto,Apartment,42.0,6,Entire home/apt,0,-8.60207,41.16033,39,39
Porto,Villa,50.0,6,Entire home/apt,0,-8.66031,41.23035,0,0
Porto,Apartment,50.0,4,Entire home/apt,0,-8.62077,41.15129,124,124
Porto,Loft,50.0,4,Entire home/apt,0,-8.61054,41.15314,73,73
Porto,Apartment,30.0,2,Entire home/apt,0,-8.61182,41.17034,57,57
Porto,Guest suite,25.0,2,Private room,0,-8.66899,41.14858,68,68
Porto,Loft,22.0,4,Private room,0,-8.477,41.33714,19,19
Porto,Apartment,100.0,2,Entire home/apt,0,-8.64026,41.00943,5,5
Porto,Apartment,60.0,4,Entire home/apt,0,-8.61799,41.15095,31,31
Porto,Apartment,50.0,2,Entire home/apt,0,-8.61234,41.14442,156,156
Porto,Apartment,100.0,4,Entire home/apt,0,-8.71786,41.22715,0,0
Porto,Apartment,70.0,2,Entire home/apt,0,-8.61285,41.14469,101,101
Porto,Apartment,75.0,3,Entire home/apt,0,-8.61062,41.14543,62,62
Porto,Apartment,39.0,8,Entire home/apt,0,-8.60792,41.1584,128,128
Porto,Apartment,85.0,2,Entire home/apt,0,-8.61549,41.14427,0,0
Porto,Apartment,55.0,3,Entire home/apt,0,-8.60569,41.16256,86,86
Porto,Apartment,80.0,6,Entire home/apt,0,-8.59971,41.15227,7,7
Porto,Apartment,45.0,4,Entire home/apt,0,-8.61302,41.15772,119,119
Porto,Apartment,65.0,2,Private room,0,-8.61803,41.1432,0,0
Porto,Apartment,33.0,6,Entire home/apt,0,-8.76167,41.37261,32,32
Porto,Apartment,55.0,2,Entire home/apt,0,-8.60825,41.15101,2,2
Porto,House,69.0,8,Entire home/apt,0,-8.60525,41.14974,221,221
Porto,Serviced apartment,26.0,2,Private room,0,-8.61834,41.17025,3,3
Porto,Apartment,200.0,8,Entire home/apt,0,-8.60696,41.14946,60,60
Porto,Apartment,60.0,3,Entire home/apt,0,-8.60315,41.1545,5,5
Porto,Apartment,85.0,4,Entire home/apt,0,-8.6056,41.16058,22,22
Porto,Apartment,30.0,2,Entire home/apt,0,-8.60892,41.15279,184,184
Porto,Apartment,45.0,4,Entire home/apt,0,-8.61326,41.14777,2,2
Porto,Apartment,47.0,4,Entire home/apt,0,-8.634,41.02619,6,6
Porto,Apartment,65.0,4,Entire home/apt,0,-8.6467,41.04185,19,19
