city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Barcelona,Apartment,50.0,2,Private room,Dreta de l'Eixample,2.16942,41.40082,0,0
Barcelona,Apartment,85.0,6,Entire home/apt,Vila de Gràcia,2.15836,41.41582,51,51
Barcelona,Apartment,20.0,2,Private room,el Fort Pienc,2.17963,41.40087,1,1
Barcelona,Apartment,15.0,2,Private room,La Sagrada Família,2.17519,41.41035,0,0
Barcelona,Apartment,31.0,5,Entire home/apt,El Clot,2.19057,41.41254,2,2
Barcelona,Condominium,40.0,2,Private room,El Gòtic,2.17778,41.38049,122,122
Barcelona,Apartment,169.0,8,Entire home/apt,Vila de Gràcia,2.18146,41.39716,77,77
Barcelona,Condominium,40.0,3,Private room,Vila de Gràcia,2.15533,41.40686,191,191
Barcelona,Apartment,89.0,4,Entire home/apt,Sants-Montjuïc,2.14596,41.38475,104,104
Barcelona,Apartment,91.0,6,Entire home/apt,La Sagrada Família,2.17831,41.37724,0,0
Barcelona,Apartment,91.0,4,Entire home/apt,La Sagrada Família,2.17774,41.37783,1,1
Barcelona,Apartment,40.0,2,Private room,Vila de Gràcia,2.15759,41.40349,0,0
Barcelona,Apartment,84.0,4,Entire home/apt,El Poble-sec,2.16622,41.3719,130,130
Barcelona,Apartment,85.0,6,Entire home/apt,Dreta de l'Eixample,2.15573,41.37249,43,43
Barcelona,Apartment,25.0,2,Private room,Sant Pere/Santa Caterina,2.17561,41.38701,108,108
Barcelona,Apartment,130.0,7,Entire home/apt,El Poble-sec,2.15566,41.37479,129,129
Barcelona,Apartment,130.0,5,Entire home/apt,L'Antiga Esquerra de l'Eixample,2.15255,41.39193,1,1
Barcelona,Apartment,65.0,4,Private room,La Nova Esquerra de l'Eixample,2.15395,41.38005,57,57
Barcelona,Apartment,31.0,2,Private room,0,2.20085,41.42112,23,23
Barcelona,Apartment,35.0,3,Private room,El Raval,2.16851,41.3791,54,54
Barcelona,Apartment,60.0,2,Entire home/apt,Vila de Gràcia,2.15884,41.40462,6,6
Barcelona,Apartment,55.0,4,Entire home/apt,El Gòtic,2.17877,41.37903,7,7
Barcelona,Apartment,40.0,2,Private room,Glòries - El Parc,2.183,41.39142,4,4
Barcelona,Apartment,25.0,1,Private room,Vila de Gràcia,2.16126,41.39796,0,0
Barcelona,Apartment,90.0,6,Entire home/apt,Dreta de l'Eixample,2.15375,41.37587,20,20
Barcelona,Apartment,38.0,2,Private room,Porta,2.17935,41.43038,12,12
Barcelona,Apartment,58.0,5,Entire home/apt,Vila de Gràcia,2.15761,41.39922,213,213
Barcelona,Apartment,155.0,4,Entire home/apt,Dreta de l'Eixample,2.17434,41.39137,23,23
Barcelona,Serviced apartment,599.0,8,Entire home/apt,Dreta de l'Eixample,2.16424,41.39139,4,4
Barcelona,Apartment,95.0,1,Private room,Les Corts,2.12933,41.38665,17,17
