city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Istanbul,House,527.0,6,Entire home/apt,Moda,29.03133,40.98585,1,1
Istanbul,Serviced apartment,997.0,6,Entire home/apt,Şişli,28.98818,41.04772,0,0
Istanbul,Bed and breakfast,121.0,3,Private room,0,28.98009,41.0062,29,29
Istanbul,Loft,185.0,2,Private room,0,29.03693,41.12452,0,0
Istanbul,Apartment,58.0,2,Private room,Taksim,28.95825,41.03777,27,27
Istanbul,Apartment,264.0,4,Entire home/apt,0,28.89964,40.99667,0,0
Istanbul,Serviced apartment,838.0,4,Entire home/apt,Şişli,28.98713,41.04841,3,3
Istanbul,Apartment,105.0,4,Private room,0,29.05108,41.08835,0,0
Istanbul,Apartment,37.0,2,Private room,0,29.06064,40.98837,1,1
Istanbul,Apartment,269.0,4,Entire home/apt,Cihangir,28.98538,41.03326,135,135
Istanbul,Apartment,264.0,8,Entire home/apt,0,28.97477,41.03735,77,77
Istanbul,Apartment,100.0,2,Private room,Ortaköy,29.02519,41.05197,0,0
Istanbul,Apartment,137.0,2,Private room,Moda,29.02588,40.98825,0,0
Istanbul,House,685.0,3,Private room,Fatih,28.94457,41.03301,0,0
Istanbul,Apartment,105.0,2,Private room,Cihangir,28.98648,41.03376,31,31
Istanbul,Apartment,385.0,2,Entire home/apt,Cihangir,28.97994,41.03406,17,17
Istanbul,Serviced apartment,211.0,3,Entire home/apt,Taksim,28.98789,41.03445,1,1
Istanbul,Apartment,53.0,1,Private room,0,29.08565,41.01499,0,0
Istanbul,Apartment,417.0,4,Entire home/apt,0,28.99363,41.05261,6,6
Istanbul,House,359.0,4,Entire home/apt,0,29.11608,40.862,15,15
Istanbul,Apartment,47.0,1,Private room,0,29.03075,40.99459,1,1
Istanbul,Townhouse,633.0,4,Entire home/apt,0,29.00425,41.04095,0,0
Istanbul,Apartment,506.0,2,Private room,Sultanahmet,28.98018,41.00404,0,0
Istanbul,Apartment,227.0,2,Private room,0,28.98641,41.06018,0,0
Istanbul,Apartment,95.0,2,Private room,0,28.98361,41.04768,0,0
Istanbul,Bed and breakfast,359.0,1,Private room,Sultanahmet,28.977,41.01001,0,0
Istanbul,Apartment,148.0,2,Private room,Sultanahmet,28.97622,41.00359,24,24
Istanbul,Apartment,348.0,4,Entire home/apt,0,29.06648,40.87794,22,22
Istanbul,Apartment,90.0,1,Private room,0,28.98352,41.04902,2,2
Istanbul,Apartment,100.0,1,Private room,0,28.99911,41.06422,0,0
Istanbul,Apartment,190.0,2,Private room,0,29.04503,40.98909,5,5
Istanbul,Apartment,90.0,2,Entire home/apt,Taksim,28.97483,41.03746,176,176
Istanbul,Apartment,158.0,2,Private room,0,28.98327,41.05766,1,1
Istanbul,Apartment,42.0,2,Private room,0,29.06318,40.97602,0,0
Istanbul,Apartment,269.0,2,Entire home/apt,0,28.98378,41.0344,0,0
Istanbul,Serviced apartment,564.0,12,Entire home/apt,Sultanahmet,28.97218,41.00755,18,18
Istanbul,Apartment,47.0,2,Private room,0,28.97895,41.04747,0,0
Istanbul,Apartment,132.0,2,Private room,0,28.98542,41.04478,0,0
Istanbul,Apartment,90.0,2,Private room,Üsküdar,29.01992,41.03087,0,0
Istanbul,Apartment,475.0,8,Entire home/apt,Taksim,28.98224,41.03832,43,43
Istanbul,Apartment,559.0,7,Entire home/apt,Karaköy,28.9739,41.02655,22,22
