city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
New York,Apartment,205.0,4,Entire home/apt,Greenpoint,-73.94472,40.72778,5,5
New York,Apartment,40.0,1,Private room,Bushwick,-73.93615,40.69791,1,1
Oahu,Condominium,115.0,2,Entire home/apt,Waikiki,-157.83919,21.28634,96,96
New York,Apartment,135.0,2,Private room,0,-73.96523,40.79962,70,70
New York,Apartment,275.0,5,Entire home/apt,0,-73.95854,40.7664,9,9
Maui,Condominium,499.0,4,Entire home/apt,Central Business District,-156.68012,20.96996,1,1
New York,Apartment,150.0,3,Entire home/apt,0,-73.98944,40.72063,0,0
New York,Apartment,45.0,2,Private room,Jamaica,-73.82257,40.71485,239,239
The Big Island,Apartment,135.0,6,Entire home/apt,Kailua/Kona,-155.96445,19.5702,1,1
New York,Apartment,220.0,4,Entire home/apt,Williamsburg,-73.93869,40.71552,1,1
New York,Apartment,180.0,9,Entire home/apt,East Harlem,-73.93943,40.79805,22,22
New York,Apartment,145.0,2,Entire home/apt,Chelsea,-74.00074,40.74577,1,1
New York,Apartment,46.0,2,Private room,Jackson Heights,-73.88025,40.74953,123,123
The Big Island,Treehouse,185.0,2,Entire home/apt,0,-155.21763,19.42151,103,103
Oahu,House,795.0,14,Entire home/apt,Ko'olauloa,-157.91952,21.63549,32,32
New York,Apartment,175.0,2,Entire home/apt,Williamsburg,-73.96053,40.71577,117,117
Maui,Condominium,229.0,4,Entire home/apt,Maui,-156.46881,20.78621,19,19
New York,Apartment,212.0,3,Entire home/apt,The Castro,-73.9696,40.78558,45,45
Oahu,Condominium,95.0,4,Entire home/apt,Waianae Coast,-158.20291,21.4818,32,32
Oahu,Bungalow,100.0,2,Entire home/apt,0,-158.1602,21.57561,99,99
New York,Apartment,35.0,1,Private room,Tremont,-73.90052,40.85598,2,2
New York,Apartment,125.0,4,Entire home/apt,Williamsburg,-73.93981,40.70687,126,126
The Big Island,House,325.0,11,Entire home/apt,Kailua/Kona,-155.97349,19.61318,45,45
New York,Apartment,144.0,2,Entire home/apt,Downtown Brooklyn,-73.98102,40.69406,1,1
The Big Island,Condominium,125.0,4,Entire home/apt,Hilo,-155.09259,19.73108,65,65
New York,Apartment,80.0,1,Private room,Harlem,-73.95211,40.80708,10,10
New York,Apartment,128.0,2,Private room,Morningside Heights,-73.9648,40.80732,29,29
New York,Apartment,250.0,8,Entire home/apt,Fort Greene,-73.97527,40.6884,89,89
New York,Apartment,60.0,2,Private room,Williamsburg,-73.94384,40.70528,0,0
New York,Guest suite,135.0,3,Entire home/apt,Park Slope,-73.98307,40.6651,115,115
Oahu,Guesthouse,120.0,2,Entire home/apt,Kaimuki,-157.78578,21.29561,114,114
Kauai,Guest suite,139.0,2,Private room,Kauaʻi,-159.48653,22.22739,167,167
New York,Apartment,50.0,2,Private room,Crown Heights,-73.95667,40.67414,46,46
New York,Townhouse,110.0,2,Entire home/apt,Bedford-Stuyvesant,-73.95321,40.69034,184,184
New York,Apartment,125.0,2,Entire home/apt,Hell's Kitchen,-73.99482,40.76438,60,60
New York,Apartment,47.0,2,Private room,Flatbush,-73.94883,40.6536,241,241
The Big Island,House,72.0,2,Entire home/apt,Island of Hawaiʻi,-155.02503,19.56081,18,18
New York,Apartment,90.0,1,Private room,Lower East Side,-73.98319,40.71823,0,0
Oahu,Apartment,99.0,2,Entire home/apt,Waikiki,-157.83937,21.2837,137,137
The Big Island,House,169.0,14,Entire home/apt,Island of Hawaiʻi,-155.89926,19.20636,119,119
Oahu,House,189.0,8,Entire home/apt,Kailua,-157.74147,21.37812,44,44
The Big Island,House,105.0,2,Private room,Island of Hawaiʻi,-155.2403,19.43344,44,44
New York,Apartment,200.0,2,Entire home/apt,East Village,-73.98763,40.72808,19,19
New York,House,90.0,2,Private room,Jamaica,-73.77835,40.68135,21,21
New York,Apartment,189.0,3,Entire home/apt,Boerum Hill,-73.98517,40.68779,215,215
New York,Apartment,59.0,3,Private room,Bay Ridge,-74.02972,40.63199,13,13
Oahu,Condominium,325.0,8,Entire home/apt,Waikiki,-157.82696,21.27971,103,103
New York,Apartment,110.0,3,Entire home/apt,East Harlem,-73.93955,40.79733,199,199
New York,Apartment,200.0,2,Entire home/apt,Nolita,-73.99529,40.72404,0,0
New York,Apartment,40.0,3,Private room,East Harlem,-73.94429,40.78626,2,2
New York,Apartment,350.0,7,Entire home/apt,Midtown East,-73.96776,40.75482,112,112
Maui,Condominium,400.0,6,Entire home/apt,Kihei/Wailea,-156.5039,20.79664,7,7
Kauai,Apartment,234.0,2,Private room,Kauaʻi,-159.47554,21.88234,4,4
Oahu,Apartment,135.0,3,Entire home/apt,Waikiki,-157.83857,21.28572,87,87
New York,Condominium,125.0,3,Entire home/apt,Williamsburg,-73.96216,40.71353,16,16
New York,Apartment,100.0,2,Entire home/apt,Chinatown,-73.99442,40.7113,26,26
The Big Island,Cabin,65.0,2,Entire home/apt,Island of Hawaiʻi,-155.87508,19.26787,1,1
